세부 항목,규제 내용
제5조. 개인정보의 처리 원칙," 모든 개인정보의 처리는 합법적이고 공정해야 한다.

본인과 관련된 개인정보가 수집, 이용, 참조되거나 기타 방식으로 처리된다는 사실, 그리고 그 개인정보가 처리되거나 처리될 범위를 해당 개인에게 투명하게 알려야 한다.

이러한 투명성 원칙은 개인정보 처리와 관련하여 행하는 정보 제공(information) 및 의사소통(communication) 일체가 용이하고 이해하기 쉬우며 명확하고 평이한 언어로 행해지도록 요구한다.

투명성 원칙은 정보주체에게 제공되는 컨트롤러의 신원과 처리 목적에 대한 정보 및 해당 개인에 대한 공정하고 투명한 처리를 보장하기 위한 추가 정보, 그리고 본인에 관해 처리 중인 개인정보를 확인하고 전달받을 수 있는 개인의 권리에 관련된다.

개인은 개인정보 처리와 관련한 위험성, 규칙, 안전징치와 권리 및 그 권리를 행사하는 방식에 대해서 인지할 수 있어야 한다.

특히 개인정보가 처리되는 특정한 목적은 명백하고 적법하여야 하고, 해당 개인정보의 수집 당시에 결정되어야 한다.

개인정보는 처리 목적에 적합하고, 관련되며 그에 필요한 정도로 제한되어야 한다.

이는 특히 개인정보의 보관기관이 최소한으로 제한되도록 요구한다.

개인정보는 처리 목적이 여타 수단에 의해서는 합리적으로 성취될 수 없는 경우에 한하여 처리 될 수 있다.

컨트롤러는 개인정보가 필요 이상으로 보관되지 않도록 기간을 정해 삭제 또는 주기적 검토가 이루어지도록 해야 한다.

모든 적정 조치를 취해 부정확한 개인정보가 수정 또는 삭제되도록 해야 한다.

개인정보는 개인정보 및 그 처리에 사용되는 장비에 무단으로 접근하거나 사용하는 것을 방지하는 등 적절한 안정과 기밀성을 보장하는 방식으로 처리되어야 한다."
제9조. 특별 범주의 개인정보 처리,"1. 인종 또는 민족, 정치적 견해, 종교적 또는 철학적 신념, 노동조합의 가입여부를 나타내는 개인정보의 처리와 유전자 정보, 자연인을 고유하게 식별할 목적의 생체정보, 건강정보, 성생활 또는 성적 취향에 관한 정보의 처리는 금지된다.

2. 다음 각 호의 하나에 해당하는 경우 제1항은 적용되지 않는다.

(a) 정보주체가 단일 또는 복수의 특정한 목적으로 특별 범주의 개인정보를 처리하는 데 명백한 동의를 제공한 경우. 단, 유럽연합 또는 회원국 법률이 정보주체가 제1항의 금지조항을 무효화할 수 없다고 명시적으로 규정하는 경우는 제외된다.

(b) 고용, 사회보장, 사회보호법 분야에서 컨트롤러나 정보주체의 의무를 이행하고 특정 권리를 행사하기 위한 목적으로 처리가 필요한 경우. 단, 그 처리는 유럽연합 또는 회원국 법률이나 정보주체의 기본적 권리 및 이익에 대한 적절한 안전조치를 규정하는 회원국 법률에 따라 체결된 단체협약에 의해 승인되어야 한다.

(c) 정보주체가 신체적으로 또는 법률적으로 동의를 제공할 수 없는 경우로서 정보주체 또는 제3자의 생명의 이익을 보호하는 데 처리가 필요한 경우

(d) 정치적, 철학적, 종교적 또는 노동조합의 목적을 지닌 재단, 협회, 기타 비영리기관이 적절한 안전조치를 갖추어 수행하는 합법적인 활동의 과정에서 개인정보를 처리하는 경우로서, 해당 처리가 그 목적에 맞게 관련 기관의 회원 또는 이전 회원 또는 관련 기관과 정기적으로 접촉하는 자에 한하여 이루어지고, 정보주체의 동의 없이 이러한 개인정보를 기관 외부에 제공하지 않는다는 조건에 따라 수행되는 경우

(e) 정보주체가 명백히 공개한 개인정보와 관련된 처리인 경우

(f) 법적 권리의 확립, 행사, 방어를 위하거나 법원이 사법권을 행사할 때마다 처리가 필요한 경우

(g) 추구하는 목표에 비례하도록 유럽연합 또는 회원국 법률에 근거하여 상당한 공익상의 이유로 처리가 필요한 경우와 개인정보 보호권의 본질을 존중하고 정보주체의 기본적 권리 및 이익을 보호하기 위해 적절하고 구체적인 조치를 제공하는 경우

(h) 예방의학 또는 직업의학의 목적으로 처리가 필요한 경우 및 피고용인의 업무능력 평가, 의학적 진단, 의료서비스 또는 사회복지 또는 치료의 제공, 또는 유럽연합 또는 회원국 법률에 근거하거나 의료전문가와의 계약에 의거하고 제3항의 조건 및 안전조치에 따라 의료 또는 사회복지 제도나 서비스의 관리를 위해 처리가 필요한 경우

(i) 회원국 간의 중대한 건강 위협으로부터 보호하거나 의료서비스•의약품•의료장비의 높은 품질과 안정성을 보장하는 등 공중보건 분야에서 공익상의 이유로, 특히 직무상의 기밀 등 정보주체의 권리와 자유를 보호하기 위해 적절하고 구체적인 조치를 규정하는 유럽연합 또는 회원국 법률에 근거하여 처리가 필요한 경우

(j) 추구하는 목적에 비례하고, 개인정보 보호권의 본질을 존중하며, 정보주체의 기본적 권리 및 이익을 보호하기 위해 적절하고 구체적인 조치를 제공하는 유럽연합 또는 회원국 법률에 근거하여, 제89조(1)에 따라 공익적 기록보존 목적, 과학적 또는 역사적 연구 목적, 또는 통계적 목적을 위해 처리가 필요한 경우.
  
3. 제1항의 개인정보는 제2항 (h)호의 목적을 위해 처리될 수 있는데, 유럽연합 또는 회원국 법률이나 관련 국가기관이 제정한 규정에 따라 직무상 기밀 유지의 의무가 있는 전문가의 책임에 의하거나 책임 하에서 해당 개인정보가 처리되는 경우나, 유럽연합 또는 회원국 법률이나 관련 국가기관이 수립한 규정에 따라 기밀 유지의 의무가 있는 제3자에 의해 해당 개인정보가 처리되는 경우와 같은 때이다.

4. 회원국은 유전정보, 생체정보 또는 건강에 관한 정보에 대하여 제한 등의 추가 조건을 유지하거나 도입할 수 있다"
제16조. 정정권,"정보주체는 본인에 관하여 부정확한 개인정보를 부당한 지체 없이 정정하도록 컨트롤러에게 요구할 권리를 가진다. 정보주체는 처리목적을 참작하여 추가 진술을 제공할 수단을 통하는 등, 불완전한 개인정보를 보완할 권리를 가진다."
제17조. 삭제권('잊힐 권리'),"1. 정보주체는 본인에 관한 개인정보를 부당한 지체 없이 삭제하도록 컨트롤러에게 요청할 권리를 가지며, 컨트롤러는 다음 각 호가 적용되는 경우, 부당한 지체 없이 개인정보를 삭제할 의무를 가진다.
(a) 개인정보가 수집된, 그렇지 않으면 처리된 목적에 더 이상 필요하지 않은 경우
(b) 정보주체가 제6조(1)의 (a)호 또는 제9조(2)의 (a)호에 따라 처리의 기반이 되는 동의를 철회하고, 해당 처리에 대한 기타의 법적 근거가 없는 경우 
(c) 정보주체가 제21조(1)에 따라 처리에 반대하고 관련 처리에 대해 우선하는 정당한 근거가 없거나, 정보주체가 제21조(2)에 따라 처리에 반대하는 경우
(d) 개인정보가 불법적으로 처리된 경우
(e) 컨트롤러에 적용되는 유럽연합 또는 회원국 법률의 법적 의무를 준수하기 위해 개인정보가 삭제되어야 하는 경우
(f) 제8조(1)에 규정된 정보사회서비스의 제공과 관련하여 개인정보가 수집된 경우 
2. 컨트롤러가 개인정보를 공개하고 제1항에 따라 해당 개인정보를 삭제할 의무가 있는 경우, 컨트롤러는 가용 기술과 시행 비용을 참작하여 개인정보를 처리하는 컨트롤러에게 정보주체가 그 같은 컨트롤러들에게 해당 개인정보에 대한 링크, 사본 또는 복제본의 삭제를 요청하였음을 고지하기 위한 기술적 조치 등, 적절한 조치를 취해야 한다.
3. 제1항 및 제2항은 다음 각 호를 위해 개인정보의 처리가 필요한 경우에는 적용되지 않는다. 
(a) 표현과 정보의 자유에 대한 권리의 행사
(b) 컨트롤러에 적용되는 유럽연합 또는 회원국 법률의 법적 의무를 준수하는데 처리가 요구되는 경우 또는, 공익을 위해서 또는 컨트롤러에게 부여된 공적 권한을 행사하여 업무를 수행하는 경우
(c) 제9조(3)뿐만 아니라 제9조(2)의 (h)호 및 (i)호에 따른 공중보건 분야의 공익상의 이유인 경우
(d) 제89조(1)에 따른 공익적 기록보존 목적, 과학적 또는 역사적 연구 목적, 또는 통계적 목적에 해당하는 경우로서, 제1항의 권리가 그 처리의 목적 달성을 불가능하게 하거나 중대하게 손상시킬 것으로 예상되는 경우
(e) 법적 권리의 확립, 행사 또는 방어를 위한 경우"
제24조. 주제 및 목적,"컨트롤러는 개인정보의 처리가 자연인의 권리 및 자유에 미치는 위험의 다양한 가능성 및 정도와 함께 최신 기술, 실행 비용, 그리고 처리의 성격, 범위, 상황 및 목적을 고려하여, 그 처리가 본 규정에 따라 이루어졌음을 보장하고 입증할 수 있도록 적절한 기술 및 관리적 조치를 취해야 한다."
제24조. 주제 및 목적,"처리활동과 관련하여 비례하는 경우, 제1항의 조치는 컨트롤러의 적절한 개인정보보호 정책의 이행을 포함해야 한다."
제25조. 설계 및 기본설정에 의한 개인정보 보호,"1. 컨트롤러는 개인정보의 처리가 자연인의 권리 및 자유에 미치는 위험의 다양한 가능성 및 정도와 함께 최신 기술, 실행 비용, 그리고 처리의 성격, 범위, 상황 및 목적을 고려하여, 가명처리 등의 기술 및 관리적 조치를 개인정보의 처리 방법을 결정한 시점 및 그 처리가 이루어지는 해당 시점에 이행해야 한다. 그러한 기술적 및 관리적 조치는 본 규정의 요건을 충족시키고 정보주체의 권리를 보호하기 위해 데이터 최소화 등 개인정보 보호원칙을 효율적으로 이행하고 필요한 안전조치를 개인정보 처리에 통합할 수 있도록 설계되어야 한다."
제25조. 설계 및 기본설정에 의한 개인정보 보호,"2. 컨트롤러는 기본설정을 통해 각 특정 처리 목적에 필요한 개인정보만 처리되도록 적절한 기술적 및 관리적 조치를 이행해야 한다. 그 의무는 수집되는 개인정보의 양, 그 처리 정도, 보관기관 및 이용가능성에 적용된다. 특히, 그러한 조치는 기본설정을 통해 개인정보가 관련 개인의 개입 없이 불특정 다수에게 열람되지 않도록 한다."
제29조. 컨트롤러 및 프로세서의 권한에 따른 처리,"프로세서, 그리고 컨트롤러나 프로세서의 권한에 따라 행하는 자로서 개인정보를 열람할 수 있는 자는 유럽연합 또는 회원국 법률로 요구되는 경우가 아니라면 컨트롤러의 지시에 따른 경우를 제외하고 해당 개인정보를 처리해서는 안 된다."
제30조. 처리 활동의 기록,"1. 각 컨트롤러와, 해당하는 경우, 그 컨트롤러의 대리인은 본인의 책임 하에 진행되는 처리 활동의 기록을 보존해야 한다. 해당 기록은 다음 각 호의 정보를 포함해야 한다.
(a) 컨트롤러와, 해당하는 경우, 공동 컨트롤러, 컨트롤러의 대리인 및 데이터보호담당관의 이름 및 연락처
(b) 처리의 목적
(c) 정보주체의 범주 및 개인정보의 범주에 대한 설명
(d) 제3국 또는 국제기구의 수령인 등, 개인정보를 제공받았거나 제공받을 예정인 수령인의 범주
(e) 해당하는 경우, 제3국 및 국제기구의 신원 확인 등, 제3국 또는 국제기구로의 개인정보 이전 및 제49조(1)의 2호에 규정된 이전의 경우에는 적절한 안전조치에 대한 문서
(f) 가능한 경우, 각기 다른 범주의 정보를 삭제하는 데 예상되는 기한
(g) 가능한 경우, 제32조(1)에 규정된 기술 및 관리적 안전조치에 대한 전반적인 설명"
제30조. 처리 활동의 기록,"2. 각 프로세서, 그리고 해당하는 경우 관련 프로세서의 대리인은 컨트롤러를 대신하여 수행하는 전 범주의 처리활동에 대한 기록을 보존해야 하며, 해당 기록은 다음 각 호의 정보를 포함해야 한다.
(a) 관련 프로세서(들) 및 프로세서가 대행하는 각 컨트롤러의 이름과 연락처, 그리고 해당하는 경우, 컨트롤러와 프로세서의 대리인 및 데이터보호담당관의 이름과 연락처
(b) 각 컨트롤러를 대신하여 수행하는 처리의 범주
(c) 해당하는 경우, 제3국 및 국제기구의 신원 확인 등, 제3국 또는 국제기구로의 개인정보 이전 및 제49조(1)의 2호에 규정된 이전의 경우에는 적절한 안전조치에 대한 문서
(d) 가능한 경우, 제32조(1)에 규정된 기술 및 관리적 안전조치에 대한 전반적인 설명"
제32조. 처리의 보안,"1. 컨트롤러와 프로세서는 개인정보의 처리가 자연인의 권리 및 자유에 미치는 위험의 다양한 가능성 및 정도와 함께 최신 기술, 실행 비용, 그리고 처리의 성격, 범위, 상황 및 목적을 고려하여, 해당 위험에 적정한 보안 수준을 보장하기 위해 특히 다음 각 호 등을 포함하여 적정한 기술 및 관리적 조치를 이행해야 한다.
(a) 개인정보의 가명처리 및 암호처리
(b) 처리 시스템 및 서비스의 지속적인 기밀성과 무결성, 가용성, 복원력을 보장할 수 있는 역량
(c) 물리적 또는 기술적 사고가 발생하는 경우 개인정보에 대한 가용성 및 열람을 시의 적절하게 복원 할 수 있는 역량
(d) 처리의 보안을 보장하는 기술 또는 관리적 조치의 효율성을 정기적으로 테스트 및 평가하기 위한 절차"
제32조. 처리의 보안,"2. 보안의 적정 수준을 평가할 때는 처리로 인해 발생하는 위험성, 특히 이전, 저장 또는 다른 방식으로 처리된 개인정보에 대한 우발적 또는 불법적 파기, 유실, 변경, 무단 제공, 무단 열람에 대해 고려해야 한다."
제32조. 처리의 보안,4. 컨트롤러와 프로세서는 컨트롤러나 프로세서의 권한에 따라 개인정보를 열람하는 모든 자연인이 유럽연합 또는 회원국 법률로 요구되는 것이 아니라면 컨트롤러의 지시에 따른 경우를 제외하고는 개인정보를 처리하지 못하도록 해야 한다.
제82조. 보상 권리 및 책임,데이터 처리에 관여하는 컨트롤러는 본 규정을 침해하는 정보처리로 초래된 피해에 대하여 책임을 져야 한다. 프로세서는 프로세서들에게 구체적으로 지시된 본 규정의 의무사항을 준수하지 않은 경우 또는 컨트롤러의 합법적 지시를 벗어나거나 그 지시에 반대되는 행동을 한 경우에 한하여 데이터 처리로 초래된 피해에 대하여 책임을 져야 한다.
제82조. 보상 권리 및 책임,"피해를 초래한 사건에 대하여 어떠한 식으로도 책임이 없음을 증명할 경우, 컨트롤러 또는 프로세서는 제2항에 의거한 책임에서 면제된다."
제83조. 행정 과태료 부과에 관한 일반 조건,"행정 과태료는 각 개별 사례의 정황에 따라 제58조(2)의 (a)-(h)호 및 (j)호에 언급된 조치에 추가로 부과되거나 그 대신 부과되어야 한다. 각 개별 사례에서 행정 과태료 부과 여부를 결정하거나 행정 과태료 액수를 결정할 때 다음 사항을 면밀히 고려해야 한다.

(a) 관련 데이터 처리의 성격, 범위 또는 목적을 고려한 침해의 성격, 중대성 및 기간, 그리고 영향을 받은 정보주체의 수와 피해 정도

(b) 고의적이거나 태만한 침해 특성

(c) 정보주체가 입은 피해를 완화하기 위해 컨트롤러나 프로세서가 취한 조치

(d) 제25조 및 제32조에 의거하여 컨트롤러 또는 프로세서가 이행한 기술 및 관리적 대책을 고려한 컨트롤러 또는 프로세서의 책임의 정도

(e) 컨트롤러 또는 프로세서의 이전의 관련 침해건

(f) 침해를 구제하고 침해의 악영향을 완화하기 위한 감독기관과의 협력 수준

(g) 침해로 영향을 받은 개인정보의 범주

(h) 컨트롤러 또는 프로세서가 침해를 통보했는지 여부 및 그런 경우 통보의 정도 등 침해 사실이 감독기관에 알려지게 된 방식

(i) 동일한 사안에 대하여 관련 컨트롤러나 프로세서에 제58조(2)의 조치를 사전에 명한 경우, 해당 조치의 준수 여부

(j) 제40조에 따른 공인 행동강령 또는 제42조에 따른 공인 인증 메커니즘의 준수

(k) 침해를 통해 직접 또는 간접적으로 획득한 재정적 이익이나 회피한 손실과 같이, 해당 사례의 정황에 적용 가능한 기타의 악화 또는 완화 요인"
제87조. 국가 식별번호의 처리,회원국은 국가마다의 식별번호나 일반적으로 적용되는 기타 식별자의 처리에 대해 구체적인 조건을 추가로 결정할 수 있다. 그 같은 경우 국가마다의 식별번호나 일반적으로 적용되는 기타 식별자는 본 규정에 따른 정보주체의 권리 및 자유를 위한 적절한 안전조치가 있는 경우에 한해서만 활용되어야 한다.
제88조. 고용 환경에서의 처리,"그 같은 규정에는 특히 데이터 처리의 투명성과 공동 경제활동에 종사하는 사업체 또는 기업 집단 내에서 이루어지는 데이터 이전, 직장에서의 모니터링 시스템과 관련하여 정보주체의 존엄성과 정당한 이익 및 기본권을 보호하는데 적절하고 구체적인 대책이 포함되어야 한다. 
-> 직원들의 개인정보에 대해서도 고려해야 하는가?"
"제89조. 공익적 기록보존 목적, 과학적 또는 역사적 연구 목적, 또는 
통계적 목적을 위한 처리와 관련한 안전조치 및 적용의 일부 제외"," 공익적 기록보존 목적, 과학적 또는 역사적 연구 목적, 또는 통계적 목적을 위한 처리는 정보주체의 권리 및 자유를 위해 본 규정에 따라 적정한 안전조치가 적용되어야 한다. 그러한 안전조치는 특히 데이터 최소화 원칙이 준수되도록 기술 및 관리적 조치를 이행해야 한다. 그러한 조치에는 가명처리 방식으로 그러한 목적들을 달성할 수 있다면 가명처리가 포함될 수 있다. 정보주체의 식별을 허용하지 않거나 더 이상 허용하지 않는 추가 처리를 통해 그러한 목적들을 달성될 수 있는 경우에는 그러한 방식으로 달성되어야 한다."
"제89조. 공익적 기록보존 목적, 과학적 또는 역사적 연구 목적, 또는 
통계적 목적을 위한 처리와 관련한 안전조치 및 적용의 일부 제외","개인정보가 과학적 또는 역사적 연구 목적이나 통계적 목적으로 처리되는 경우, 유럽연합 또는 회원국 법률은 본 조 제1항의 조건 및 안전조치에 따라 제15조, 제16조, 제18조 및 제21조에 규정된 권리의 적용을 일부 제외할 수 있다. 단, 그러한 권리가 그러한 특정 목적의 달성을 불가능하게 하거나 중대하게 손상시킬 것으로 예상되고, 그러한 목적을 달성하기 위하여 적용의 일부 제외가 필요한 것이어야 한다."
"제89조. 공익적 기록보존 목적, 과학적 또는 역사적 연구 목적, 또는 
통계적 목적을 위한 처리와 관련한 안전조치 및 적용의 일부 제외","제2항 및 제3항에 명시된 정보처리가 동시에 다른 목적으로 이루어지는 경우, 적용의 일부 제외는 해당 호에 명시된 목적을 가진 데이터 처리에만 적용되어야 한다."
제6조(인공지능시스템의 고위험 분류규칙),6.4 비고위험으로 판단한 제공자의 평가 기록 및 등록 의무
제9조(위험관리시스템),9.2 위험관리시스템의 4단계 구성 요소
제10조(데이터 및 데이터 거버넌스),10.1 고위험 AI 시스템의 훈련·검증·시험 데이터셋 품질기준 충족 의무
제10조(데이터 및 데이터 거버넌스),10.2 8가지 데이터 거버넌스 관행 적용 의무
제10조(데이터 및 데이터 거버넌스),"10.3 데이터셋의 관련성, 대표성, 오류 최소화, 완전성, 적절한 통계적 특성 보장 의무"
제10조(데이터 및 데이터 거버넌스),10.4 AI 시스템 사용 환경의 지리적·상황적·행태적·기능적 특성을 데이터셋에 반영 의무
제10조(데이터 및 데이터 거버넌스),10.5 편향성 탐지·보정을 위한 특별범주 개인데이터 처리 시 6가지 조건 준수 의무 
제10조(데이터 및 데이터 거버넌스),10.6 비학습 고위험 AI 시스템의 경우 데이터 거버넌스 요구사항을 시험 데이터셋에만 적용
제12조(기록 관리),12.1 고위험 AI 시스템의 생명주기 동안 사건 자동 기록(로그) 기능 구현 의무
제12조(기록 관리),12.2 고위험 AI 시스템의 추적성 확보를 위한 3가지 사건 로깅 기능 의무
제12조(기록 관리),12.3 고위험 AI 시스템의 4가지 필수 로깅 요소
제14조(인적 감독),"14.4 인적 감독자의 5가지 역할 (시스템 이해·모니터링, 자동화 편향 인식, 산출물 해석, 사용 중단 결정, 시스템 개입·중단)"
"제15조(정확성, 견고성 및 사이버보안)","15.4 오류·결함·불일치에 대한 복원력, 기술적·조직적 조치, 백업·실패대비계획, 피드백 루프 완화 의무"
"제15조(정확성, 견고성 및 사이버보안)","15.5 무권한 제3자 공격에 대한 복원력, 데이터 오염·모델 오염·적대적 예제·기밀성 공격·모델 결함 대응 조치"
제16조(고위험 인공지능 시스템 제공자의 의무),16.1 고위험 AI 시스템 제공자의 12가지 의무사항
제18조(문서 보관),18.3 금융기관 제공자의 금융서비스법 문서와 기술문서 통합 보관
제19조(자동 생성 로그),19.1 제공자의 AI 시스템 자동 생성 로그 보관 의무
제19조(자동 생성 로그),19.2 금융기관 제공자의 금융서비스법 문서와 AI 시스템 로그 통합 보관
제20조(시정조치 및 정보 의무),20.1 제공자의 규정 미준수 판단시 즉시 시정조치 의무 및 관련 당사자 통지
제20조(시정조치 및 정보 의무),20.2 위험 발생시 배포자와 협력한 원인 조사 및 시장감시기관·인증기관 통지 의무
제21조(관할기관과의 협력),21.1 적합성 증명을 위한 모든 정보 및 문서 제공 의무
제21조(관할기관과의 협력),21.2 관할기관의 합리적 요청시 제공자 관리 범위 내 자동 생성 로그 접근 제공 의무
제26조(고위험 인공지능 시스템 배포자의 의무),26.4 배포자 관리 범위 내 입력 데이터의 관련성 및 충분한 대표성 보장 의무
제26조(고위험 인공지능 시스템 배포자의 의무),"26.5 사용설명서 기반 시스템 운용 모니터링, 위험 발생시 제공자·당국 통지 및 사용 중단, 중대사건 보고 의무"
제26조(고위험 인공지능 시스템 배포자의 의무),26.6 배포자 관리 범위 내 자동 생성 로그의 적절한 기간 또는 최소 6개월 보관 의무
제43조(적합성평가),43.4 실질적 수정시 재평가
제51조(범용 인공지능 모델의 시스템적 위험이 있는 범용 인공지능 모델로의 분류),51.2 고영향력 추정 기준(훈련에 사용되는 누적 계산량이 10보다 클 때)
제53조(범용 인공지능 모델 제공자의 의무),53.1 제공자의 4가지 의무
제55조(시스템적 위험이 있는 범용 인공지능 모델 제공자의 의무),55.1 제공자의 4가지 추가 의무
제59조(인공지능 규제 샌드박스에서 공익을 위한 특정 인공지능 시스템 개발을 위한 개인데이터의 추가 처리),59.1 공익 목적 개인데이터 처리 조건
제60조(인공지능 규제 샌드박스 외부의 실제 조건에서 고위험 인공지능 시스템 시험),60.5 동의 철회 및 데이터 삭제
제72조(제공자의 시판 후 모니터링 및 고위험 인공지능 시스템에 대한 시판 후 모니터링 계획),72.2 데이터 수집·분석 및 지속적 준수 평가
제74조(유럽연합 시장에서 인공지능 시스템의 시장 감시 및 통제),74.12 문서·데이터 접근권
제74조(유럽연합 시장에서 인공지능 시스템의 시장 감시 및 통제),74.13 소스코드 접근 조건
제77조(기본권 보호 기관의 권한),77.1 문서 접근 권한
GOVERN 1.5,위험 관리 프로세스와 그 결과는 지속적으로 모니터링·정기 검토되어야 하며 역할·책임이 명확해야 함(검토 주기 포함)
GOVERN 1.6,"AI 시스템을 식별·목록화하고, 조직의 위험 우선순위에 따라 자원을 배분할 수 있는 메커니즘이 마련되어야 함"
GOVERN 1.7,"AI 시스템을 안전하게 서비스 종료(phase-out)하거나 해체(decommission)할 수 있는 절차와 프로세스가 마련되어야 하며, 이는 새로운 위험을 증가시키거나 신뢰성을 저하시켜서는 안됨"
GOVERN 4.2,조직 팀은 설계·개발·배포·운영하는 AI의 위험과 잠재적 영향을 문서화하고 폭넓게 공유해야 함 
MEASURE 1.1,"MAP 기능에서 나열된 AI 위험을 측정하기 위한 접근 방식과 지표가 선택되어야 하며, 가장 중요한 위험부터 시작해야 함. 측정할 수 없거나 측정하지 않는 위험은 적절히 문서화되어야 함."
MEASURE 1.2,AI 지표의 적절성과 기존 통제의 효과성은 오류 보고 및 영향을 받는 공동체에 대한 영향 평가를 포함하여 정기적으로 평가·갱신된다.
MEASURE 2.2,"사람을 대상으로 하는 평가가 있을 경우, 관련 요구사항(인간 대상 보호 포함)을 충족하고 관련 모집단을 대표해야 한다."
MEASURE 2.3,"AI 시스템 성능이나 보증 기준은 정성적·정량적으로 측정·시연되어야 함. 배포 조건과 유사한 환경에서 검증되어야 하며, 결과가 문서화되어야 함"
MEASURE 2.4,MAP 기능에서 확인된 AI 시스템 및 구성요소의 기능과 동작은 운영 환경에서 모니터링되어야 함 
MEASURE 2.5,배포될 AI 시스템은 유효하고 신뢰할 수 있음이 입증되어야 함. 기술이 개발된 조건을 넘어서는 일반화의 한계는 문서화되어야 함 
MEASURE 2.6,"MAP 기능에서 확인된 안전 위험에 대해 AI 시스템은 정기적으로 평가되어야 함. 배포될 시스템은 안전성이 입증되어야 하고, 잔여 위험은 위험 허용 수준을 넘지 않아야 하며, 특히 지식 한계를 벗어나 작동할 경우 안전하게 실패할 수 있어야 함. 안전 지표에는 신뢰성·강건성, 실시간 모니터링, AI 시스템 실패 대응 시간이 반영되어야 함 "
MEASURE 2.8,MAP 기능에서 확인된 투명성과 책임성과 관련된 위험이 검토·문서화되어야 함 
MEASURE 2.10,MAP 기능에서 확인된 AI 시스템의 프라이버시 위험이 검토·문서화되어야 함 
MEASURE 2.11,MAP 기능에서 확인된 공정성과 편향이 평가되고 결과가 문서화되어야 함 
MEASURE 2.13,사용된 TEVV 지표와 프로세스의 효과성이 평가·문서화되어야 함
MEASURE 4.3,관련 AI 행위자(영향을 받는 커뮤니티 포함)와의 협의 및 현장 데이터에 기반해 맥락 관련 위험과 신뢰성 특성에서 측정 가능한 성능 향상이나 저하가 식별되고 문서화되어야 함 
MANAGE 2.4 ,"의도된 사용과 일치하지 않는 성능이나 결과를 보이는 AI 시스템을 대체·분리·비활성화하기 위한 메커니즘이 마련·적용되어야 하며, 역할과 책임도 할당·이해되어야 함 "
MANAGE 3.2,개발에 사용되는 사전 학습된 모델은 AI 시스템의 정기적 모니터링 및 유지 관리의 일부로 모니터링되어야 함
MANAGE 4.1,"배포 이후 AI 시스템 모니터링 계획이 실행되어야 하며, 여기에는 사용자 및 관련 AI 행위자로부터 입력을 수집·평가하는 메커니즘, 이의 제기 및 무효화, 시스템 폐기, 사고 대응, 복구, 변경 관리가 포함되어야 함 "
MANAGE 4.2,"지속적 개선을 위한 측정 가능한 활동은 AI 시스템 업데이트에 통합되어야 하며, 관련 AI 행위자를 포함한 이해관계자와의 정기적 협력을 포함해야 함 "
8.1 운영 기획 및 통제,요구사항 충족 및 6장의 조치를 실행하기 위한 프로세스를 기획·구현·통제해야 한다.
8.2 AI 위험 평가,계획된 간격 또는 주요 변경 시 위험 평가를 수행해야 한다.
8.3 AI 위험 처리,위험 처리 계획을 실행·검증하고 필요시 재검토해야 한다.
8.4 AI 시스템 영향 평가,계획된 간격 또는 주요 변경 시 영향 평가를 수행해야 한다.
10.1 지속적 개선,적합성·충분성·효과성을 지속 개선해야 한다.
10.2 부적합 및 시정조치,부적합 발생 시 대응·원인 분석·시정조치·효과 검토를 수행해야 한다.
A.4.3 데이터 자원,AI 데이터 자원을 문서화해야 한다.
A.6.2.8 이벤트 로그 기록,AI 시스템 운영 시 최소한 이벤트 로그를 기록해야 한다.
A.7.5 데이터 출처,데이터 출처를 기록해야 한다.
7.5.3 문서화된 정보의 관리,"ISMS 및 본 문서가 요구하는 문서화된 정보는 사용 시 적합성과 가용성을 보장하고, 손실·부적절 사용·무결성 손실로부터 보호되어야 한다. 조직은 배포·접근·검색·사용, 보관 및 가독성 유지, 변경 관리(버전 관리), 보존 및 폐기 등을 수행해야 한다. 외부 문서도 필요한 경우 식별·관리해야 한다."
7.5.3 문서화된 정보의 관리,※ 접근은 단순 열람 권한부터 수정 권한까지 포함될 수 있다.
8.2 정보보안 위험 평가,"조직은 계획된 간격마다 또는 중대한 변경이 제안·발생할 때 정보보안 위험 평가를 수행해야 하며, 6.1.2에서 설정된 기준을 고려해야 한다. 결과는 문서화된 정보로 유지해야 한다."
8.3 정보보안 위험 처리,"조직은 정보보안 위험 처리 계획을 이행해야 하며, 결과를 문서화된 정보로 유지해야 한다."
10.1 지속적 개선,조직은 ISMS의 적합성·충분성·효과성을 지속적으로 개선해야 한다.
10.2 부적합 및 시정조치,"부적합 발생 시 조직은: a) 부적합에 대응(통제·수정, 결과 처리), b) 원인 제거 조치 필요성 평가(부적합 검토, 원인 규명, 유사 사례 확인), c) 필요한 조치 시행, d) 조치 효과 검토, e) 필요 시 ISMS 변경. 시정조치는 부적합 영향에 적절해야 한다. 부적합 및 후속 조치, 시정조치 결과는 문서화된 정보로 유지해야 한다."
5.9 정보 및 관련 자산 목록,소유자 포함 정보 및 관련 자산의 목록을 개발·유지해야 한다.
5.12 정보 분류,"정보는 기밀성, 무결성, 가용성 및 이해관계자 요구를 기반으로 분류되어야 한다."
5.13 정보 라벨링,조직이 채택한 정보 분류 체계에 따라 적절한 정보 라벨링 절차를 개발·이행해야 한다.
5.14 정보 전송,조직 내부 및 외부와의 모든 정보 전송에 대해 규칙·절차·계약을 마련해야 한다.
