세부항목,규제내용,컴플라이언스,매핑ID,매핑여부(직접매핑/해당없음),감사가능,감사방법(AWS 콘솔/CLI),권장해결(요약),,,,
제28조의5 가명정보 처리 시 금지의무 등,"① 제28조의2 또는 제28조의3에 따라 가명정보를 처리하는 자는 특정 개인을 알아보기 위한 목적으로 가명정보를 처리해서는 아니 된다. <개정 2023. 3. 14.> ② 개인정보처리자는 제28조의2 또는 제28조의3에 따라 가명정보를 처리하는 과정에서 특정 개인을 알아볼 수 있는 정보가 생성된 경우에는 즉시 해당 정보의 처리를 중지하고, 지체 없이 회수ㆍ파기하여야 한다.",PIPA,11.0-03;4.0-05;3.0-01,직접매핑,,,,,,,
제28조의8 개인정보의 국외 이전,"① 개인정보처리자는 개인정보를 국외로 제공(조회되는 경우를 포함한다)ㆍ처리위탁ㆍ보관(이하 이 절에서 “이전”이라 한다)하여서는 아니 된다. 다만, 다음 각 호의 어느 하나에 해당하는 경우에는 개인정보를 국외로 이전할 수 있다. ② 개인정보처리자는 제1항제1호에 따른 동의를 받을 때에는 미리 다음 각 호의 사항을 정보주체에게 알려야 한다. ③ 개인정보처리자는 제2항 각 호의 어느 하나에 해당하는 사항을 변경하는 경우에는 정보주체에게 알리고 동의를 받아야 한다. ④ 개인정보처리자는 제1항 각 호 외의 부분 단서에 따라 개인정보를 국외로 이전하는 경우 국외 이전과 관련한 이 법의 다른 규정, 제17조부터 제19조까지의 규정 및 제5장의 규정을 준수하여야 하고, 대통령령으로 정하는 보호조치를 하여야 한다. ⑤ 개인정보처리자는 이 법을 위반하는 사항을 내용으로 하는 개인정보의 국외 이전에 관한 계약을 체결하여서는 아니 된다. ⑥ 제1항부터 제5항까지에서 규정한 사항 외에 개인정보 국외 이전의 기준 및 절차 등에 필요한 사항은 대통령령으로 정한다.",PIPA,12.0-04;12.0-01;9.0-04;12.0-05,직접매핑,,,,,,,
제24조 고유식별정보의 처리 제한,"① 개인정보처리자는 다음 각 호의 경우를 제외하고는 법령에 따라 개인을 고유하게 구별하기 위하여 부여된 식별정보로서 대통령령으로 정하는 정보(이하 “고유식별정보”라 한다)를 처리할 수 없다. ② 삭제 <2013. 8. 6.> ③ 개인정보처리자가 제1항 각 호에 따라 고유식별정보를 처리하는 경우에는 그 고유식별정보가 분실ㆍ도난ㆍ유출ㆍ위조ㆍ변조 또는 훼손되지 아니하도록 대통령령으로 정하는 바에 따라 암호화 등 안전성 확보에 필요한 조치를 하여야 한다. <개정 2015. 7. 24.> ④ 보호위원회는 처리하는 개인정보의 종류ㆍ규모, 종업원 수 및 매출액 규모 등을 고려하여 대통령령으로 정하는 기준에 해당하는 개인정보처리자가 제3항에 따라 안전성 확보에 필요한 조치를 하였는지에 관하여 대통령령으로 정하는 바에 따라 정기적으로 조사하여야 한다. <신설 2016. 3. 29., 2017. 7. 26., 2020. 2. 4.> ⑤ 보호위원회는 대통령령으로 정하는 전문기관으로 하여금 제4항에 따른 조사를 수행하게 할 수 있다. <신설 2016. 3. 29., 2017. 7. 26., 2020. 2. 4.>",PIPA,2.0-16;2.0-01;2.0-11;1.0-01,직접매핑,,,,,,,
제24조의2 주민등록번호 처리의 제한,"① 제24조제1항에도 불구하고 개인정보처리자는 다음 각 호의 어느 하나에 해당하는 경우를 제외하고는 주민등록번호를 처리할 수 없다. <개정 2014. 11. 19., 2016. 3. 29., 2017. 7. 26., 2020. 2. 4.> ② 개인정보처리자는 제24조제3항에도 불구하고 주민등록번호가 분실ㆍ도난ㆍ유출ㆍ위조ㆍ변조 또는 훼손되지 아니하도록 암호화 조치를 통하여 안전하게 보관하여야 한다. 이 경우 암호화 적용 대상 및 대상별 적용 시기 등에 관하여 필요한 사항은 개인정보의 처리 규모와 유출 시 영향 등을 고려하여 대통령령으로 정한다. <신설 2014. 3. 24., 2015. 7. 24.> ③ 개인정보처리자는 제1항 각 호에 따라 주민등록번호를 처리하는 경우에도 정보주체가 인터넷 홈페이지를 통하여 회원으로 가입하는 단계에서는 주민등록번호를 사용하지 아니하고도 회원으로 가입할 수 있는 방법을 제공하여야 한다. <개정 2014. 3. 24.> ④ 보호위원회는 개인정보처리자가 제3항에 따른 방법을 제공할 수 있도록 관계 법령의 정비, 계획의 수립, 필요한 시설 및 시스템의 구축 등 제반 조치를 마련ㆍ지원할 수 있다.",PIPA,2.0-16;2.0-01;3.0-01,직접매핑,,,,,,,
제23조 민감정보의 처리 제한,"① 개인정보처리자는 사상ㆍ신념, 노동조합ㆍ정당의 가입ㆍ탈퇴, 정치적 견해, 건강, 성생활 등에 관한 정보, 그 밖에 정보주체의 사생활을 현저히 침해할 우려가 있는 개인정보로서 대통령령으로 정하는 정보(이하 “민감정보”라 한다)를 처리하여서는 아니 된다. 다만, 다음 각 호의 어느 하나에 해당하는 경우에는 그러하지 아니하다. <개정 2016. 3. 29.> ② 개인정보처리자가 제1항 각 호에 따라 민감정보를 처리하는 경우에는 그 민감정보가 분실ㆍ도난ㆍ유출ㆍ위조ㆍ변조 또는 훼손되지 아니하도록 제29조에 따른 안전성 확보에 필요한 조치를 하여야 한다. <신설 2016. 3. 29.> ③ 개인정보처리자는 재화 또는 서비스를 제공하는 과정에서 공개되는 정보에 정보주체의 민감정보가 포함됨으로써 사생활 침해의 위험성이 있다고 판단하는 때에는 재화 또는 서비스의 제공 전에 민감정보의 공개 가능성 및 비공개를 선택하는 방법을 정보주체가 알아보기 쉽게 알려야 한다. <신설 2023. 3. 14.>",PIPA,11.0-03;2.0-01;2.0-11;1.0-01;3.0-01,직접매핑,,,,,,,
데이터의 목적 외 이용 및 제3자 제공으로 인한 법령·규제 위반,"모델 아티팩트, ML 메타데이터, 추론 로그에 포함된 개인정보가 팀·조직 내에서 불분명하게 공유되거나 외부 분석/클라우드 서비스로 제공될 때, 수령자가 원래 동의한 목적을 벗어나 재활용하거나 제3자에 재제공하면 개인정보 유출 및 책임 문제가 발생함.",SAGE-Threat,12.0-01;12.0-02;12.0-03;12.0-04;12.0-05;3.0-01;3.0-02;3.0-03;3.0-04;3.0-05;3.0-06;3.0-07;3.0-08;3.0-09;3.0-10;3.0-11;5.0-05,직접매핑,예,AWS 콘솔/CLI,로깅·감사·무결성 보호 활성화 / 데이터 품질·라인리지·카탈로그 강화 / 네트워크 경계 강화·사설 경로 사용
데이터 저장·전송 구간 암호화 미적용으로 인한 개인정보/민감정보/고유식별정보 평문 노출,"개인정보/민감정보가 암호화 없이 저장·전송·처리되어 유출될 수 있음. 이는 개인정보 도용로 이어질 수 있으며, Shadow data 내 포함 여부 점검을 비롯하여 데이터 암호화 준수 여부 점검 필요.",SAGE-Threat,12.0-01;12.0-02;12.0-03;12.0-04;12.0-05;2.0-01;2.0-02;2.0-03;2.0-04;2.0-05;2.0-06;2.0-07;2.0-08;2.0-09;2.0-10;2.0-11;2.0-12;2.0-13;2.0-14;2.0-15;2.0-16;5.0-05,직접매핑,예,AWS 콘솔/CLI,저장·전송 구간 암호화(SSE-KMS/HTTPS/TLS) 적용 / 데이터 품질·라인리지·카탈로그 강화 / 네트워크 경계 강화·사설 경로 사용
백업 데이터 평문 노출,백업 파일에 암호화·마스킹이 적용되지 않으면 분실·탈취 시 과거 데이터까지 포함한 대규모 유출이 발생함.,SAGE-Threat,11.0-03;13.0-01;13.0-02;13.0-03;13.0-04;2.0-01;2.0-02;2.0-03;2.0-04;2.0-05;2.0-06;2.0-07;2.0-08;2.0-09;2.0-10;2.0-11;2.0-12;2.0-13;2.0-14;2.0-15;2.0-16;4.0-01;4.0-02;4.0-03;4.0-04;4.0-07;9.0-01;9.0-03;9.0-04;9.0-05;9.0-06;9.0-07;code 4.0-06,직접매핑,예,AWS 콘솔/CLI,저장·전송 구간 암호화(SSE-KMS/HTTPS/TLS) 적용 / 보존·백업·파기 정책 자동화 / 환경 분리·테넌시 격리·마스킹
평문 노출 반복 발생,"동일 유형의 평문 노출 사고가 반복되면 조직의 보안 대응이 미흡하다는 신호가 되며, 동일 사고의 재발·확산 가능성이 커짐.",SAGE-Threat,2.0-01;2.0-02;2.0-03;2.0-04;2.0-05;2.0-06;2.0-07;2.0-08;2.0-09;2.0-10;2.0-11;2.0-12;2.0-13;2.0-14;2.0-15;2.0-16,직접매핑,예,AWS 콘솔/CLI,저장·전송 구간 암호화(SSE-KMS/HTTPS/TLS) 적용
내부자 과도한 권한 및 오남용,"내부 계정에 과도한 권한이 부여되어 의도적·비의도적 유출·변조가 가능한 취약점. 탐지·증거 확보가 어려워 장기 손해 유발 가능하기 때문에, 최소 권한과 감사 로그 필수.",SAGE-Threat,1.0-01;1.0-02;1.0-03;1.0-04;1.0-05;1.0-06;3.0-01;3.0-02;3.0-03;3.0-04;3.0-05;3.0-06;3.0-07;3.0-08;3.0-09;3.0-10;3.0-11;6.0-04;7.0-01;7.0-02;7.0-03;7.0-04;7.0-05;8.0-01,직접매핑,예,AWS 콘솔/CLI,최소권한·계정보호·SCP 적용 / 로깅·감사·무결성 보호 활성화 / 모델/컨테이너 무결성·버전 관리 / 보안 모니터링·탐지/알림 / 네트워크 경계 강화·사설 경로 사용
권한 없는 사용자 개인정보 열람,역할(Role)·권한 관리 미비로 본인이 접근할 필요가 없는 개인정보에 접근 가능해지면 내부 유출·오남용 위험 증가. RBAC/ABAC 적용 제안.,SAGE-Threat,1.0-01;1.0-02;1.0-03;1.0-04;1.0-05;1.0-06;8.0-01,직접매핑,예,AWS 콘솔/CLI,최소권한·계정보호·SCP 적용 / 네트워크 경계 강화·사설 경로 사용
암호키 권한 오남용으로 인한 복구 불능·서비스 중단,암호키나 비밀정보 접근 권한이 남용되면 복구 불가능한 상태(키 삭제·유출)나 서비스 중단을 초래할 수 있음. 키는 안전영역에 보관하고 접근·회전 정책 필요.,SAGE-Threat,1.0-01;1.0-02;1.0-03;1.0-04;1.0-05;1.0-06;10.0-01;10.0-02;10.0-04;2.0-16;4.0-01;4.0-02;4.0-03;4.0-04;4.0-07;8.0-01;9.0-01;9.0-03;9.0-04;9.0-05;9.0-06;9.0-07;code 4.0-06,직접매핑,예,AWS 콘솔/CLI,저장·전송 구간 암호화(SSE-KMS/HTTPS/TLS) 적용 / 최소권한·계정보호·SCP 적용 / 보존·백업·파기 정책 자동화 / 네트워크 경계 강화·사설 경로 사용
버킷 Public 노출,"클라우드 스토리지 버킷이 접근 통제 되지않고 공개 상태로 설정되어 외부에 공개된 상태로, 누구나 개인정보·민감정보를 조회·다운로드할 수 있는 상태가 됨.",SAGE-Threat,1.0-01;1.0-02;1.0-03;1.0-04;1.0-05;1.0-06;12.0-01;12.0-02;12.0-03;12.0-04;12.0-05;5.0-05;8.0-01;8.0-02;8.0-03;8.0-04;8.0-05;8.0-06;8.0-07;8.0-08;8.0-09,직접매핑,예,AWS 콘솔/CLI,최소권한·계정보호·SCP 적용 / 데이터 품질·라인리지·카탈로그 강화 / 네트워크 경계 강화·사설 경로 사용
DB·민감 시스템의 공인 IP 노출로 인한 외부 무단 접속 위험,"데이터베이스 등 민감 시스템이 공인 IP로 노출되면 외부 공격자가 무단으로 접속할 수 있음. → 사설망(IP) 사용, Bastion/VPN 경유 접속 필수/",SAGE-Threat,12.0-01;12.0-02;12.0-03;12.0-04;12.0-05;5.0-05;8.0-01;8.0-02;8.0-03;8.0-04;8.0-05;8.0-06;8.0-07;8.0-08;8.0-09,직접매핑,예,AWS 콘솔/CLI,데이터 품질·라인리지·카탈로그 강화 / 네트워크 경계 강화·사설 경로 사용
민감정보 외부 전송,"외부 API·네트워크로 민감정보가 전송되는 취약점으로, 전송 중 유출되면 추적·통제 어려움.",SAGE-Threat,12.0-01;12.0-02;12.0-03;12.0-04;12.0-05;5.0-05;8.0-01;8.0-02;8.0-03;8.0-04;8.0-05;8.0-06;8.0-07;8.0-08;8.0-09,직접매핑,예,AWS 콘솔/CLI,데이터 품질·라인리지·카탈로그 강화 / 네트워크 경계 강화·사설 경로 사용
인터넷 노출 통한 공격,"보안 패치·업데이트 미비 상태에서 인터넷에 직접 노출된 경우, 알려진 취약점 공격 위험이 높음. 패치 경로 검증을 통해 탐지·차단 가능.",SAGE-Threat,12.0-01;12.0-03;12.0-05;6.0-04;7.0-01;7.0-02;7.0-03;7.0-04;7.0-05;8.0-01;8.0-02;8.0-03;8.0-04;8.0-05;8.0-06;8.0-07;8.0-08;8.0-09,직접매핑,예,AWS 콘솔/CLI,모델/컨테이너 무결성·버전 관리 / 보안 모니터링·탐지/알림 / 네트워크 경계 강화·사설 경로 사용
SSE-KMS 미사용 저장,"S3 등 스토리지에 SSE-KMS 기반 서버측 암호화를 적용하지 않고, 애플리케이션 내부 키로만 암호화하거나 원본 데이터를 평문 저장할 경우 개인정보 유출 위험이 큼.",SAGE-Threat,2.0-01;2.0-02;2.0-03;2.0-04;2.0-05;2.0-06;2.0-07;2.0-08;2.0-09;2.0-10;2.0-11;2.0-12;2.0-13;2.0-14;2.0-15;2.0-16,직접매핑,예,AWS 콘솔/CLI,저장·전송 구간 암호화(SSE-KMS/HTTPS/TLS) 적용
만료 데이터 미파기+ @,사용 기한이 지난 개인정보가 계속 보관·사용되면 법 위반 사항임. 만료 시 자동 삭제·삭제 로그 수집·실패 건 알림 필요.,SAGE-Threat,3.0-01;3.0-02;3.0-03;3.0-04;3.0-05;3.0-06;3.0-07;3.0-08;3.0-09;3.0-10;3.0-11;4.0-01;4.0-02;4.0-03;4.0-04;4.0-07;9.0-01;9.0-03;9.0-04;9.0-05;9.0-06;9.0-07;code 4.0-06,직접매핑,예,AWS 콘솔/CLI,로깅·감사·무결성 보호 활성화 / 보존·백업·파기 정책 자동화
가명정보 장기 보관으로 인한 재식별 가능성 및 법적 리스크 증가,가명정보를 장기간 보관할수록 다른 데이터와 결합해 재식별될 가능성이 증가.,SAGE-Threat,11.0-03;13.0-01;13.0-02;13.0-03;13.0-04,직접매핑,예,AWS 콘솔/CLI,환경 분리·테넌시 격리·마스킹
처리기간 미설정으로 인한 데이터의 무제한 보관,개인정보 처리기간이 명시되지 않으면 무기한 보관으로 이어져 법적 리스크 발생 및 불필요한 데이터 노출 위험.,SAGE-Threat,,해당없음,아니오,-,정책·표준 수립 필요(해당 매핑 항목 없음)
개인정보의 의도치않은 파기 및 유실로 인한 데이터 확인 불가,정당한 접근권을 가진 정보주체가 접근해야 하는 개인정보가 잘못 삭제되어 서비스 불가·권리 침해로 이어짐.,SAGE-Threat,1.0-01;1.0-02;1.0-03;1.0-04;1.0-05;1.0-06;4.0-01;4.0-02;4.0-03;4.0-04;4.0-07;8.0-01;9.0-01;9.0-03;9.0-04;9.0-05;9.0-06;9.0-07;code 4.0-06,직접매핑,예,AWS 콘솔/CLI,최소권한·계정보호·SCP 적용 / 보존·백업·파기 정책 자동화 / 네트워크 경계 강화·사설 경로 사용
보관 목적 혼재,법적 의무 이행을 위한 보존 데이터와 단순 보관 데이터가 섞여 있으면 관리·감사가 어려움. 물리적·논리적 분리와 접근 로그 증빙 필요.,SAGE-Threat,1.0-01;1.0-02;1.0-03;1.0-04;1.0-05;1.0-06;3.0-01;3.0-02;3.0-03;3.0-04;3.0-05;3.0-06;3.0-07;3.0-08;3.0-09;3.0-10;3.0-11;4.0-01;4.0-02;4.0-03;4.0-04;4.0-07;8.0-01;9.0-01;9.0-03;9.0-04;9.0-05;9.0-06;9.0-07;code 4.0-06,직접매핑,예,AWS 콘솔/CLI,최소권한·계정보호·SCP 적용 / 로깅·감사·무결성 보호 활성화 / 보존·백업·파기 정책 자동화 / 네트워크 경계 강화·사설 경로 사용
장기 보관된 개인정보 침해로 인한 데이터 대량 유출 및 손실 위험,"보관 정책 미흡 시 장기간 쌓인 데이터가 침해될 경우 피해 규모 확대. 서비스 종료 시 완전 삭제, CSP 백업/스냅샷 스캔·검증 필요. 삭제 미흡·재식별 방치는 장기 리스크로 이어짐.",SAGE-Threat,4.0-01;4.0-02;4.0-03;4.0-04;4.0-07;9.0-01;9.0-03;9.0-04;9.0-05;9.0-06;9.0-07;code 4.0-06,직접매핑,예,AWS 콘솔/CLI,보존·백업·파기 정책 자동화
시험(테스트) 환경에서 운영데이터 사용으로 인한 정보 유출,DSPM이 데이터 이동-삭제 로그 증빙 제공 / DSPM이 접속기록 법적 보관 기간 준수 증빙 / DSPM이 이벤트 로그 분석 및 SIEM 연계로 증빙 제공 / 환경 분리-데이터 샘플링/가명처리 필수 / 테스트 데이터는 가명처리-마스킹 필수,SAGE-Threat,11.0-01;11.0-02;11.0-03;11.0-04;12.0-01;12.0-02;12.0-03;12.0-04;12.0-05;13.0-01;13.0-02;13.0-03;13.0-04;16.0-01;16.0-02;16.0-03;3.0-01;3.0-02;3.0-03;3.0-04;3.0-05;3.0-06;3.0-07;3.0-08;3.0-09;3.0-10;3.0-11;4.0-01;4.0-02;4.0-03;4.0-04;4.0-07;5.0-05;9.0-01;9.0-03;9.0-04;9.0-05;9.0-06;9.0-07;code 4.0-06,직접매핑,예,AWS 콘솔/CLI,로깅·감사·무결성 보호 활성화 / 보존·백업·파기 정책 자동화 / 데이터 품질·라인리지·카탈로그 강화 / 네트워크 경계 강화·사설 경로 사용 / 환경 분리·테넌시 격리·마스킹 / 변경관리/승인 기반 CI/CD
키 관리 미흡으로 인해 키가 유출·재사용되어 데이터 위변조 발생,키·시크릿 관리 부실로 키가 유출되면 데이터 복호화·서명·무결성 조작이 가능해져 데이터 위변조·무단복호화가 발생하는 취약점.,SAGE-Threat,10.0-01;10.0-02;10.0-04;2.0-16;3.0-01;3.0-02;3.0-03;3.0-04;3.0-05;3.0-06;3.0-07;3.0-08;3.0-09;3.0-10;3.0-11,직접매핑,예,AWS 콘솔/CLI,저장·전송 구간 암호화(SSE-KMS/HTTPS/TLS) 적용 / 로깅·감사·무결성 보호 활성화
대량 조회·다운로드 관리 미비로 인한 개인정보 유출,관리자가 대량 조회·다운로드를 제한·모니터링하지 않으면 개인정보가 한꺼번에 유출될 수 있음. 조회·다운로드 이벤트 로그 기록과 Shadow Data 탐지가 필요.,SAGE-Threat,3.0-01;3.0-02;3.0-03;3.0-04;3.0-05;3.0-06;3.0-07;3.0-08;3.0-09;3.0-10;3.0-11;6.0-04;7.0-01;7.0-02;7.0-03;7.0-04;7.0-05,직접매핑,예,AWS 콘솔/CLI,로깅·감사·무결성 보호 활성화 / 모델/컨테이너 무결성·버전 관리 / 보안 모니터링·탐지/알림
전송 중 오발송으로 인한 PII 유출,잘못된 수신자·API 엔드포인트로 전송되거나 인증·암호화 미비로 중간자·오전달로 PII가 유출되는 위험 발생,SAGE-Threat,12.0-01;12.0-02;12.0-03;12.0-04;12.0-05;2.0-01;2.0-02;2.0-03;2.0-04;2.0-05;2.0-06;2.0-07;2.0-08;2.0-09;2.0-10;2.0-11;2.0-12;2.0-13;2.0-14;2.0-15;2.0-16;5.0-05,직접매핑,예,AWS 콘솔/CLI,저장·전송 구간 암호화(SSE-KMS/HTTPS/TLS) 적용 / 데이터 품질·라인리지·카탈로그 강화 / 네트워크 경계 강화·사설 경로 사용
데이터 출처 불명확,수집 출처·계약·수집일·전처리 이력 미기록으로 출처 확인·책임 추적이 불가하여 품질·규정 위반 식별 어려움.,SAGE-Threat,5.0-01;5.0-02;5.0-03;5.0-04;5.0-05;5.0-06;5.0-07,직접매핑,예,AWS 콘솔/CLI,데이터 품질·라인리지·카탈로그 강화
처리 인벤토리 부정확으로 인한 통제·감사의 무력화,처리 목적·범주·수신자 기록이 불일치하면 라인리지·권한·보존·전송 통제가 깨져 감사·통제가 무력화됨.,SAGE-Threat,1.0-01;1.0-02;1.0-03;1.0-04;1.0-05;1.0-06;12.0-01;12.0-02;12.0-03;12.0-04;12.0-05;3.0-01;3.0-02;3.0-03;3.0-04;3.0-05;3.0-06;3.0-07;3.0-08;3.0-09;3.0-10;3.0-11;4.0-01;4.0-02;4.0-03;4.0-04;4.0-07;5.0-01;5.0-02;5.0-03;5.0-04;5.0-05;5.0-06;5.0-07;8.0-01;9.0-01;9.0-03;9.0-04;9.0-05;9.0-06;9.0-07;code 4.0-06,직접매핑,예,AWS 콘솔/CLI,최소권한·계정보호·SCP 적용 / 로깅·감사·무결성 보호 활성화 / 보존·백업·파기 정책 자동화 / 데이터 품질·라인리지·카탈로그 강화 / 네트워크 경계 강화·사설 경로 사용
데이터 계보 추적 불가,데이터가 어떻게 생성·변형·전달됐는지 추적 불가해 오류·유출 발생 원인 규명이 불가능함.,SAGE-Threat,,해당없음,아니오,-,정책·표준 수립 필요(해당 매핑 항목 없음)
동일 데이터 과도 재사용,동일 데이터가 지나치게 반복 활용되면 학습 왜곡·편향 발생.,SAGE-Threat,,해당없음,아니오,-,정책·표준 수립 필요(해당 매핑 항목 없음)
재학습에 부적절한 데이터 저장,재학습 과정에서 잘못된 데이터가 저장되면 모델 성능 악화·오류 학습 위험.,SAGE-Threat,,해당없음,아니오,-,정책·표준 수립 필요(해당 매핑 항목 없음)
데이터 갭 발생,현재 데이터와 과거 데이터 간 차이가 커지면 일관성·정합성 문제가 발생.,SAGE-Threat,5.0-01;5.0-02;5.0-03;5.0-04;5.0-05;5.0-06;5.0-07,직접매핑,예,AWS 콘솔/CLI,데이터 품질·라인리지·카탈로그 강화
비학습 시스템에 불필요한 데이터 보관·활용,학습용이 아닌 시스템에 PII가 잔존하면 권한 범위 밖으로 데이터가 유통·노출될 가능성이 높음.,SAGE-Threat,1.0-01;1.0-02;1.0-03;1.0-04;1.0-05;1.0-06;8.0-01,직접매핑,예,AWS 콘솔/CLI,최소권한·계정보호·SCP 적용 / 네트워크 경계 강화·사설 경로 사용
데이터 자산 현황 파악 불가,"자산 인벤토리·메타데이터 부재로 책임·통제 주체 파악 불가, 이로 인해 취약점 식별·대응이 불가능해짐.",SAGE-Threat,5.0-01;5.0-02;5.0-03;5.0-04;5.0-05;5.0-06;5.0-07,직접매핑,예,AWS 콘솔/CLI,데이터 품질·라인리지·카탈로그 강화
백업·복구 실패로 인한 데이터 손실,백업 실패·복구 테스트 미흡 시 장애·랜섬웨어 공격 이후 복구 불가능 상태가 발생.,SAGE-Threat,11.0-01;11.0-02;11.0-03;11.0-04;16.0-01;16.0-02;16.0-03;4.0-01;4.0-02;4.0-03;4.0-04;4.0-07;9.0-01;9.0-03;9.0-04;9.0-05;9.0-06;9.0-07;code 4.0-06,직접매핑,예,AWS 콘솔/CLI,보존·백업·파기 정책 자동화 / 환경 분리·테넌시 격리·마스킹 / 변경관리/승인 기반 CI/CD
Trigger 과다 호출로 인한 재학습 루프 폭주,과도한 재학습으로 Loop 폭주,SAGE-Threat,,해당없음,아니오,-,정책·표준 수립 필요(해당 매핑 항목 없음)
접근통제 부재로 모델·데이터·로그 열람 가능,모델·데이터·로그 접근이 통제되지 않으면 내부·외부 무단 열람으로 기밀성 훼손. RBAC 혹은 승인 절차 필수.,SAGE-Threat,1.0-01;1.0-02;1.0-03;1.0-04;1.0-05;1.0-06;12.0-01;12.0-02;12.0-03;12.0-04;12.0-05;16.0-01;16.0-02;16.0-03;16.0-05;3.0-01;3.0-02;3.0-03;3.0-04;3.0-05;3.0-06;3.0-07;3.0-08;3.0-09;3.0-10;3.0-11;5.0-05;8.0-01;8.0-02;8.0-03;8.0-04;8.0-05;8.0-06;8.0-07;8.0-08;8.0-09,직접매핑,예,AWS 콘솔/CLI,최소권한·계정보호·SCP 적용 / 로깅·감사·무결성 보호 활성화 / 데이터 품질·라인리지·카탈로그 강화 / 네트워크 경계 강화·사설 경로 사용 / 변경관리/승인 기반 CI/CD
필수 로그 누락·미생성·오류 발생,학습/운용 필수 로그가 누락되면 행위 추적·규제 이행·사고 원인 파악이 불가. 실시간 검증 및 자동 수집 지원하는 기능 필요.,SAGE-Threat,3.0-01;3.0-02;3.0-03;3.0-04;3.0-05;3.0-06;3.0-07;3.0-08;3.0-09;3.0-10;3.0-11,직접매핑,예,AWS 콘솔/CLI,로깅·감사·무결성 보호 활성화
로그 조기 삭제 또는 미삭제로 인한 보존기간 위반 -> 규제 위반 및법적 제재,로그가 조기에 삭제되거나 과다 보존되어 규제·프라이버시 문제 초래,SAGE-Threat,3.0-01;3.0-02;3.0-03;3.0-04;3.0-05;3.0-06;3.0-07;3.0-08;3.0-09;3.0-10;3.0-11;4.0-01;4.0-02;4.0-03;4.0-04;4.0-07;9.0-01;9.0-03;9.0-04;9.0-05;9.0-06;9.0-07;code 4.0-06,직접매핑,예,AWS 콘솔/CLI,로깅·감사·무결성 보호 활성화 / 보존·백업·파기 정책 자동화
DB에 불필요한 사용자 접근 허용으로 인한 민감정보 유출,"DB에 불필요한 사용자·응용프로그램 접근 허용 시 민감정보 유출 가능. IAM, SG 등을 통한 제한 필요",SAGE-Threat,1.0-01;1.0-02;1.0-03;1.0-04;1.0-05;1.0-06;12.0-01;3.0-01;3.0-02;3.0-03;3.0-04;3.0-05;3.0-06;3.0-07;3.0-08;3.0-09;3.0-10;3.0-11;8.0-01,직접매핑,예,AWS 콘솔/CLI,최소권한·계정보호·SCP 적용 / 로깅·감사·무결성 보호 활성화 / 네트워크 경계 강화·사설 경로 사용
로그 시각 불일치로 인한 사고 추적 불가,"시간 동기화 실패 시 사고 추적이 불가능하므로, 표준 시간 동기화 필요.",SAGE-Threat,3.0-01;3.0-02;3.0-03;3.0-04;3.0-05;3.0-06;3.0-07;3.0-08;3.0-09;3.0-10;3.0-11,직접매핑,예,AWS 콘솔/CLI,로깅·감사·무결성 보호 활성화
처리내용 기록 누락,가명정보 처리 목적·제공자 기록 누락 시 감사 추적 및 컴플라이언스 대응 불가.,SAGE-Threat,11.0-03;12.0-01;12.0-02;12.0-03;12.0-04;12.0-05;13.0-01;13.0-02;13.0-03;13.0-04;3.0-01;3.0-02;3.0-03;3.0-04;3.0-05;3.0-06;3.0-07;3.0-08;3.0-09;3.0-10;3.0-11;5.0-05,직접매핑,예,AWS 콘솔/CLI,로깅·감사·무결성 보호 활성화 / 데이터 품질·라인리지·카탈로그 강화 / 네트워크 경계 강화·사설 경로 사용 / 환경 분리·테넌시 격리·마스킹
학습 자원 기록 누락,Job 메타데이터·자원 사용량 미기록 시 책임·재현·안전성 검증이 불가능하여 고위험 분류 기준 위반.,SAGE-Threat,,해당없음,아니오,-,정책·표준 수립 필요(해당 매핑 항목 없음)
변경 추적 불가로 역추적·롤백 실패,"변경 이력·감사 로그 부재 시 악성/오류 변경의 주체·시점 추적 불가, 롤백 실패.",SAGE-Threat,16.0-01;16.0-02;16.0-03;16.0-05;3.0-01;3.0-02;3.0-03;3.0-04;3.0-05;3.0-06;3.0-07;3.0-08;3.0-09;3.0-10;3.0-11,직접매핑,예,AWS 콘솔/CLI,로깅·감사·무결성 보호 활성화 / 변경관리/승인 기반 CI/CD
모니터링 부재로 인한 탐지 공백으로 민감정보 유출,"모니터링 부족으로 이상 접근, 데이터 반출, 권한 오남용 등이 장기간 미탐지될 수 있음.",SAGE-Threat,1.0-01;1.0-02;1.0-03;1.0-04;1.0-05;1.0-06;6.0-04;7.0-01;7.0-02;7.0-03;7.0-04;7.0-05;8.0-01,직접매핑,예,AWS 콘솔/CLI,최소권한·계정보호·SCP 적용 / 모델/컨테이너 무결성·버전 관리 / 보안 모니터링·탐지/알림 / 네트워크 경계 강화·사설 경로 사용
